"fecha","ejecutadocoesmw","ejecutadoseinmw","programadocoesmw","programadoseinmw","eje_progmw","eje_progseinmw"
"2020-01-02 00:30:00",5113.463829999999,5136.363829999999,5093.514729999998,5093.514729999998,19.949100000000726,42.84910000000127
"2020-01-02 01:00:00",4889.540889999999,4914.440889999997,5035.975309999999,5035.975309999999,-146.4344199999996,-121.53442000000177
"2020-01-02 01:30:00",4842.62911,4872.929109999999,4975.7998099999995,4975.7998099999995,-133.17069999999967,-102.8707000000004
"2020-01-02 02:00:00",4911.510909999999,4931.710909999996,4899.085349999999,4899.085349999999,12.425559999999678,32.62555999999677
"2020-01-02 02:30:00",4884.684429999999,4903.98443,4877.044789999999,4877.044789999999,7.639640000000327,26.93964000000142
"2020-01-02 03:00:00",4819.9265399999995,4839.926539999997,4889.500139999999,4889.500139999999,-69.57359999999971,-49.57360000000244
"2020-01-02 03:30:00",4775.278549999998,4797.678549999999,4885.9479,4885.9479,-110.66935000000194,-88.2693500000014
"2020-01-02 04:00:00",4855.770749999999,4873.07075,4912.498679999999,4912.498679999999,-56.727930000000015,-39.42792999999892
"2020-01-02 04:30:00",4909.13585,4922.135849999999,4950.829459999999,4950.829459999999,-41.69360999999935,-28.693610000000263
"2020-01-02 05:00:00",4954.00346,4975.603460000002,4993.9038900000005,4993.9038900000005,-39.9004300000006,-18.300429999998414
"2020-01-02 05:30:00",4828.8647599999995,4849.964759999999,4923.270769999999,4923.270769999999,-94.4060099999997,-73.30601000000024
"2020-01-02 06:00:00",4917.69089,4937.690889999997,5007.048249999999,5007.048249999999,-89.35735999999906,-69.35736000000179
"2020-01-02 06:30:00",5057.4423799999995,5078.44238,5123.42433,5123.42433,-65.98195000000032,-44.981949999999415
"2020-01-02 07:00:00",5392.227109999999,5410.4271100000005,5354.689029999999,5354.689029999999,37.538080000000264,55.7380800000019
"2020-01-02 07:30:00",5612.13224,5634.532239999999,5660.767779999998,5660.767779999998,-48.6355399999984,-26.235539999999673
"2020-01-02 08:00:00",5840.77823,5862.578230000001,5928.698209999999,5928.698209999999,-87.91997999999876,-66.11997999999767
"2020-01-02 08:30:00",5909.707980000001,5933.90798,6053.889449999998,6053.889449999998,-144.1814699999968,-119.9814699999979
"2020-01-02 09:00:00",6090.999320000001,6114.59932,6255.270349999998,6255.270349999998,-164.27102999999715,-140.6710299999977
"2020-01-02 09:30:00",6144.63496,6173.53496,6365.6226499999975,6365.6226499999975,-220.9876899999972,-192.08768999999756
"2020-01-02 10:00:00",6281.710019999999,6324.31002,6445.571329999999,6445.571329999999,-163.86131000000023,-121.26130999999896
"2020-01-02 10:30:00",6415.263699999999,6459.963699999999,6530.328119999998,6530.328119999998,-115.0644199999997,-70.36441999999897
"2020-01-02 11:00:00",6472.049309999999,6519.54931,6602.640729999998,6602.640729999998,-130.59141999999883,-83.09141999999792
"2020-01-02 11:30:00",6432.655029999999,6490.555029999999,6631.012329999999,6631.012329999999,-198.35729999999967,-140.45730000000003
"2020-01-02 12:00:00",6456.5534,6517.353399999999,6599.515739999998,6599.515739999998,-142.96233999999822,-82.16233999999895
"2020-01-02 12:30:00",6435.811239999998,6496.811239999999,6549.115959999999,6549.115959999999,-113.304720000001,-52.30472000000009
"2020-01-02 13:00:00",6365.057449999999,6432.857450000001,6483.912199999999,6483.912199999999,-118.85474999999951,-51.05474999999751
"2020-01-02 13:30:00",6366.685149999999,6440.585150000001,6481.460149999999,6481.460149999999,-114.77499999999964,-40.87499999999818
"2020-01-02 14:00:00",6436.63364,6514.433639999999,6597.243829999999,6597.243829999999,-160.61018999999942,-82.81019000000015
"2020-01-02 14:30:00",6434.33342,6509.2334200000005,6635.283279999998,6635.283279999998,-200.9498599999979,-126.04985999999735
"2020-01-02 15:00:00",6405.936769999999,6482.336769999997,6652.480679999999,6652.480679999999,-246.5439099999994,-170.1439100000016
"2020-01-02 15:30:00",6340.726629999999,6413.02663,6641.761809999999,6641.761809999999,-301.03517999999985,-228.73517999999876
"2020-01-02 16:00:00",6432.492309999999,6500.09231,6607.2478999999985,6607.2478999999985,-174.75558999999976,-107.15558999999848
"2020-01-02 16:30:00",6376.903420000001,6440.803419999999,6529.245519999998,6529.245519999998,-152.34209999999712,-88.44209999999839
"2020-01-02 17:00:00",6275.238289999999,6345.438289999998,6381.06251,6381.06251,-105.82422000000042,-35.624220000001515
"2020-01-02 17:30:00",6069.790209999999,6137.990210000003,6160.176989999999,6160.176989999999,-90.38677999999982,-22.18677999999636
"2020-01-02 18:00:00",6193.175469999997,6256.2754700000005,6206.241609999999,6206.241609999999,-13.066140000001724,50.03386000000137
"2020-01-02 18:30:00",6514.83355,6575.533549999997,6591.702819999998,6591.702819999998,-76.86926999999741,-16.169270000000324
"2020-01-02 19:00:00",6632.477889999999,6668.277889999999,6616.426099999998,6616.426099999998,16.051790000001347,51.85179000000153
"2020-01-02 19:30:00",6674.428580000001,6709.428580000001,6575.284709999998,6575.284709999998,99.14387000000261,134.1438700000026
"2020-01-02 20:00:00",6631.657379999999,6672.75738,6578.546909999998,6578.546909999998,53.11047000000053,94.2104700000018
"2020-01-02 20:30:00",6564.55981,6601.35981,6561.590079999998,6561.590079999998,2.9697300000016185,39.7697300000018
"2020-01-02 21:00:00",6536.00854,6570.308540000002,6563.250089999999,6563.250089999999,-27.241549999998824,7.058450000003177
"2020-01-02 21:30:00",6531.03885,6554.738850000001,6494.269659999998,6494.269659999998,36.7691900000018,60.46919000000253
"2020-01-02 22:00:00",6416.74476,6442.144759999999,6352.3964799999985,6352.3964799999985,64.34828000000107,89.7482800000007
"2020-01-02 22:30:00",6204.49964,6231.499639999998,6256.474419999998,6256.474419999998,-51.974779999997736,-24.974779999999555
"2020-01-02 23:00:00",5988.997510000001,6011.097509999999,6064.856009999999,6064.856009999999,-75.85849999999755,-53.75849999999991
"2020-01-02 23:30:00",5833.516790000001,5855.816789999998,5893.911449999999,5893.911449999999,-60.39465999999811,-38.09466000000066
